smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,O=C(Nc1cccc(Nc2ccncn2)c1)c1cccc(Nc2ccnc3ccccc23)c1,9000,nM,5.045757491,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813,CHEMBL3126646,-11.74,-11.228,-8.4470263
Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,O=C(Nc1ccc(Nc2ccncn2)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,11220,nM,4.950007143,5.65,7,4,461.53,1,117.85,35,CHEMBL2331328,CHEMBL2336409,-7.88,-9.877,-8.4470253
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccc(O)c3ccccc23)ccc1Cl,O=S(=O)(Nc1cccc2ccccc12)c1ccccc1,12000,nM,4.920818754,3.91,5,2,378.79,0,109.54,25,CHEMBL3414469,CHEMBL3414633,-7.21,-9.807,-7.6971283
Cc1cc(Nc2ccc(NC(=O)c3ccccc3Nc3ccnc4ccccc34)cc2)nc(N)n1,O=C(Nc1ccc(Nc2ccncn2)cc1)c1ccccc1Nc1ccnc2ccccc12,12300,nM,4.910094889,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813,CHEMBL3126648,-10.13,-10.909,-9.1082439
COc1ccc(CN2CCC(Nc3nc(Nc4ccc(NC(=O)CCCCCCC(=O)NO)cc4)nc4cc(OC)c(OC)cc34)CC2)cc1,c1ccc(CN2CCC(Nc3nc(Nc4ccccc4)nc4ccccc34)CC2)cc1,14000,nM,4.853871964,6.26,11,5,685.83,3,159.2,50,CHEMBL4311997,CHEMBL4554522,-9.46,-9.225,-11.419499
CC(=O)NCCc1ccc(O)c(-c2cc3c(c(O)c2O)C(=O)c2cc(O)c(C(=O)O)c(C(=O)O)c2C3=O)c1,O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,19000,nM,4.721246399,2.03,9,7,521.43,2,218.76,38,CHEMBL3414469,CHEMBL3414632,-6.72,-9.423,-8.0058851
O=C(O)[C@H](Cc1c[nH]c2ccccc12)NSc1ncccc1[N+](=O)[O-],c1ccc(SNCCc2c[nH]c3ccccc23)nc1,20000,nM,4.698970004,2.76,6,3,358.38,0,121.15,25,CHEMBL3108732,CHEMBL3109084,-8.35,-8.547,-7.3711977
O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,O=C1C=CC(=O)N1CCc1c[nH]c2ccccc12,20000,nM,4.698970004,1.09,3,2,284.27,0,90.47,21,CHEMBL3414469,CHEMBL3414631,-5.76,-8.286,-6.6106324
O=C1N=C(NCc2ccco2)NCN1,O=C1N=C(NCc2ccco2)NCN1,22000,nM,4.657577319,0,4,3,194.19,0,78.66,14,CHEMBL2062450,CHEMBL2063048,-6.79,-6.851,-5.8282037
O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1,O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1,27200,nM,4.565431096,2.2,10,0,458.59,0,83.7,30,CHEMBL4602737,CHEMBL4640870,-8.98,-8.678,-9.0602541
